Run: Fri Nov 14 12:40:46 EST 2008

Invariants:
Q.query9.firstCause	java.vm.version	Q.query12.nresults	Q.query11.nresults	Q.query9.consistent	Q.query10.nresults	Q.query7.firstCause	Q.query7.consistent	Q.query3.firstCause	Q.query10.firstCause	ntrials	Q.query11.firstCause	file	Q.query1.nresults	Q.query5.firstCause	host	nparallel	Q.query2.consistent	java.vm.vendor	forwardChainOwlInverseOf	Q.query14.consistent	nativeJoins	Q.query6.firstCause	ndataServices	maximumExtent	maximumMovesPerTarget	Q.query2.nresults	Q.query3.consistent	textIndex	query	justify	mutationCount	data	Q.query5.ncompleted	Q.query1.firstCause	dataLoader.commit	Q.query6.ncompleted	Q.query14.firstCause	Q.query5.nresults	Q.query9.ncompleted	Q.query7.ncompleted	Q.query5.consistent	Q.query2.firstCause	Q.query4.nresults	Q.query8.ncompleted	Q.query8.firstCause	BloomFilter	Q.query12.firstCause	Q.query3.nresults	Q.query2.ncompleted	Q.query9.nresults	Q.query1.consistent	Q.query13.firstCause	truthMaintenance	namespace	os.arch.cpus	toldTriples	Q.query11.ncompleted	Q.query4.consistent	Q.query14.nresults	toldTerms	Q.query1.ncompleted	Q.query11.consistent	class	Q.query14.ncompleted	Q.query13.ncompleted	Q.query6.consistent	Q.query12.consistent	maxParallelSubqueries	Q.query8.nresults	Q.query4.ncompleted	java.Runtime.maxMemory	statementIdentifiers	Q.query4.firstCause	nestedSubquery	java.vm.name	Q.query13.consistent	initialExtent	dataLoader.closure	forwardChainOwlTransitiveProperty	Q.query8.consistent	Q.query3.ncompleted	overflowEnabled	Q.query10.ncompleted	Q.query12.ncompleted	Q.query6.nresults	Q.query10.consistent	Q.query7.nresults	chunkCapacity	Q.query13.nresults	totalTriples	
null	10.0-b23	0	224	true	0	null	true	null	null	10	null	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest40425.test	4	null	SYSTAP-BBT	1	true	Sun Microsystems Inc.	true	true	true	null	1	209715200	0	0	true	false	data/lubm.query.sparql	false	26647	data//U1	10	null	None	10	null	719	10	10	true	null	34	10	null	true	null	6	10	134	true	null	false	kb	2	100868	10	true	5916	26598	10	true	com.bigdata.rdf.store.LocalTripleStore	10	10	true	true	0	6463	10	517013504	false	null	true	Java HotSpot(TM) Server VM	true	209715200	None	true	true	10	false	10	10	6463	true	61	100	1	139762	

Date	Run	Sequence	data.dir	databaseModel	Q.query1.elapsed	Q.query10.elapsed	Q.query11.elapsed	Q.query12.elapsed	Q.query13.elapsed	Q.query14.elapsed	Q.query2.elapsed	Q.query3.elapsed	Q.query4.elapsed	Q.query5.elapsed	Q.query6.elapsed	Q.query7.elapsed	Q.query8.elapsed	Q.query9.elapsed	closureTime	java.Runtime.freeMemory	java.Runtime.totalMemory	loadRate	loadTime	queryTime	totalLoadRate	totalLoadTime
Fri Nov 14 12:41:08 EST 2008	0	0		LTS	37	7	3	20	1	31	28	12	15	51	84	15	361	204	3266	51731880	109576192	10942	9218	8765	11056	12641	
Fri Nov 14 12:41:35 EST 2008	1	1	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest40426.test	LDS	7	17	10	18	6	34	18	10	25	31	46	9	356	195	6859	49770280	148373504	11246	8969	7907	8830	15828	


Run: Fri Nov 14 15:34:23 EST 2008

Invariants:
java.vm.version	java.Runtime.maxMemory	statementIdentifiers	textIndex	query	justify	java.vm.name	data	truthMaintenance	namespace	os.arch.cpus	ntrials	dataLoader.commit	initialExtent	dataLoader.closure	forwardChainOwlTransitiveProperty	overflowEnabled	host	nparallel	class	chunkCapacity	java.vm.vendor	forwardChainOwlInverseOf	nativeJoins	ndataServices	maximumExtent	maximumMovesPerTarget	BloomFilter	maxParallelSubqueries	
10.0-b23	517013504	false	false	../bigdata-lubm/src/java/edu/lehigh/swat/bench/ubt/bigdata/config.query.eossys	false	Java HotSpot(TM) Server VM	d:/eossys/data/ranker.nt	false	kb	2	10	None	209715200	None	true	false	SYSTAP-BBT	1	com.bigdata.rdf.store.LocalTripleStore	100	Sun Microsystems Inc.	true	true	1	209715200	0	true	0	

Date	Run	Sequence	data.dir	databaseModel	file	nestedSubquery	Error	StackTrace	java.Runtime.freeMemory	java.Runtime.totalMemory
Fri Nov 14 15:34:25 EST 2008	0	0		LTS	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest15595.test	true	While loading: d:\eossys\data\ranker.nt	java.lang.RuntimeException: While loading: d:\eossys\data\ranker.nt; at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:836); at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:782); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadSingleThreaded(LoadClosureAndQueryTest.java:1063); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadData(LoadClosureAndQueryTest.java:860); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.doComparisonTest(LoadClosureAndQueryTest.java:735); at com.bigdata.test.ExperimentDriver$Experiment.run(ExperimentDriver.java:662); at com.bigdata.test.ExperimentDriver.main(ExperimentDriver.java:1278); Caused by: org.openrdf.rio.UnsupportedRDFormatException: No parser factory available for RDF format null; at org.openrdf.rio.Rio.createParser(Rio.java:173); at org.openrdf.rio.Rio.createParser(Rio.java:188); at com.bigdata.rdf.rio.BasicRioLoader.getParser(BasicRioLoader.java:131); at com.bigdata.rdf.rio.BasicRioLoader.loadRdf2(BasicRioLoader.java:177); at com.bigdata.rdf.rio.BasicRioLoader.loadRdf(BasicRioLoader.java:147); at com.bigdata.rdf.store.DataLoader.loadData3(DataLoader.java:910); at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:832); ... 6 more; 	30055704	42991616	
Fri Nov 14 15:36:44 EST 2008	1	1	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest15596.test	LDS		true	java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException	java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:524); at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:438); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadData(LoadClosureAndQueryTest.java:920); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.doComparisonTest(LoadClosureAndQueryTest.java:735); at com.bigdata.test.ExperimentDriver$Experiment.run(ExperimentDriver.java:662); at com.bigdata.test.ExperimentDriver.main(ExperimentDriver.java:1278); Caused by: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.rdf.rules.RDFJoinNexus.runDataServiceProgram(RDFJoinNexus.java:1664); at com.bigdata.rdf.rules.RDFJoinNexus.runProgram(RDFJoinNexus.java:1562); at com.bigdata.rdf.rules.RDFJoinNexus.runMutation(RDFJoinNexus.java:1504); at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:516); ... 5 more; Caused by: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.relation.rule.eval.ProgramTask.executeMutation(ProgramTask.java:493); at com.bigdata.relation.rule.eval.ProgramTask.executeProgramWithEmbeddedClosure(ProgramTask.java:699); at com.bigdata.relation.rule.eval.ProgramTask.call(ProgramTask.java:270); at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303); at java.util.concurrent.FutureTask.run(FutureTask.java:138); at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:885); at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:907); at java.lang.Thread.run(Thread.java:619); Caused by: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at com.bigdata.relation.rule.eval.AbstractStepTask.runOne(AbstractStepTask.java:333); at com.bigdata.relation.rule.eval.MutationTask.call(MutationTask.java:113); at com.bigdata.relation.rule.eval.AbstractStepTask$1.doTask(AbstractStepTask.java:598); at com.bigdata.journal.AbstractTask$InnerWriteServiceCallable.call(AbstractTask.java:1876); at com.bigdata.concurrent.LockManagerTask.call(LockManagerTask.java:334); at com.bigdata.journal.AbstractTask.doUnisolatedReadWriteTask(AbstractTask.java:1645); at com.bigdata.journal.AbstractTask.call2(AbstractTask.java:1587); at com.bigdata.journal.AbstractTask.call(AbstractTask.java:1464); ... 5 more; Caused by: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:362); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:1); at com.bigdata.relation.rule.eval.AbstractStepTask.runOne(AbstractStepTask.java:331); ... 12 more; Caused by: java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1331); at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1186); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer$InsertSolutionBuffer.flush(AbstractSolutionBuffer.java:189); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer.flush(AbstractSolutionBuffer.java:95); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer.flush(AbstractSolutionBuffer.java:1); at com.bigdata.relation.accesspath.AbstractArrayBuffer.flush(AbstractArrayBuffer.java:171); at com.bigdata.relation.accesspath.AbstractArrayBuffer.add(AbstractArrayBuffer.java:149); at com.bigdata.relation.accesspath.UnsynchronizedArrayBuffer.handleChunk(UnsynchronizedArrayBuffer.java:85); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.overflow(AbstractUnsynchronizedArrayBuffer.java:268); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.add2(AbstractUnsynchronizedArrayBuffer.java:196); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.add(AbstractUnsynchronizedArrayBuffer.java:155); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.emitSolutions(NestedSubqueryWithJoinThreadsTask.java:1011); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:527); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.runSubQueriesInCallersThread(NestedSubqueryWithJoinThreadsTask.java:778); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.runSubQueries(NestedSubqueryWithJoinThreadsTask.java:710); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:522); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:460); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:301); ... 14 more; Caused by: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1316); ... 31 more; Caused by: java.lang.NullPointerException; at com.bigdata.btree.AbstractBTree.insert(AbstractBTree.java:1329); at com.bigdata.btree.AbstractBTree.insert(AbstractBTree.java:1266); at com.bigdata.rdf.spo.SPOIndexWriteProc.apply(SPOIndexWriteProc.java:218); at com.bigdata.btree.AbstractBTree.submit(AbstractBTree.java:2251); at com.bigdata.rdf.spo.SPOIndexWriter.call(SPOIndexWriter.java:269); at com.bigdata.rdf.spo.SPOIndexWriter.call(SPOIndexWriter.java:1); ... 5 more; 	137918672	324009984	
Fri Nov 14 15:38:55 EST 2008	2	2	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest15599.test	EDS		true	java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}	java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:524); at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:438); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadData(LoadClosureAndQueryTest.java:920); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.doComparisonTest(LoadClosureAndQueryTest.java:735); at com.bigdata.test.ExperimentDriver$Experiment.run(ExperimentDriver.java:662); at com.bigdata.test.ExperimentDriver.main(ExperimentDriver.java:1278); Caused by: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.relation.rule.eval.ProgramTask.executeMutation(ProgramTask.java:493); at com.bigdata.relation.rule.eval.ProgramTask.executeProgramWithEmbeddedClosure(ProgramTask.java:699); at com.bigdata.relation.rule.eval.ProgramTask.call(ProgramTask.java:270); at com.bigdata.rdf.rules.RDFJoinNexus.runDistributedProgram(RDFJoinNexus.java:1621); at com.bigdata.rdf.rules.RDFJoinNexus.runProgram(RDFJoinNexus.java:1553); at com.bigdata.rdf.rules.RDFJoinNexus.runMutation(RDFJoinNexus.java:1504); at com.bigdata.rdf.rules.InferenceEngine.computeClosure(InferenceEngine.java:516); ... 5 more; Caused by: java.util.concurrent.ExecutionException: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at com.bigdata.relation.rule.eval.AbstractStepTask.runOne(AbstractStepTask.java:333); at com.bigdata.relation.rule.eval.MutationTask.call(MutationTask.java:113); at com.bigdata.relation.rule.eval.MutationTask.call(MutationTask.java:1); at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303); at java.util.concurrent.FutureTask.run(FutureTask.java:138); at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:885); at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:907); at java.lang.Thread.run(Thread.java:619); Caused by: java.lang.RuntimeException: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:362); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:1); at com.bigdata.relation.rule.eval.AbstractStepTask.runOne(AbstractStepTask.java:331); ... 7 more; Caused by: java.lang.RuntimeException: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1331); at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1186); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer$InsertSolutionBuffer.flush(AbstractSolutionBuffer.java:189); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer.flush(AbstractSolutionBuffer.java:95); at com.bigdata.relation.rule.eval.AbstractSolutionBuffer.flush(AbstractSolutionBuffer.java:1); at com.bigdata.relation.accesspath.AbstractArrayBuffer.flush(AbstractArrayBuffer.java:171); at com.bigdata.relation.accesspath.AbstractArrayBuffer.add(AbstractArrayBuffer.java:149); at com.bigdata.relation.accesspath.UnsynchronizedArrayBuffer.handleChunk(UnsynchronizedArrayBuffer.java:85); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.overflow(AbstractUnsynchronizedArrayBuffer.java:268); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.add2(AbstractUnsynchronizedArrayBuffer.java:196); at com.bigdata.relation.accesspath.AbstractUnsynchronizedArrayBuffer.add(AbstractUnsynchronizedArrayBuffer.java:155); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.emitSolutions(NestedSubqueryWithJoinThreadsTask.java:1011); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:527); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.runSubQueriesInCallersThread(NestedSubqueryWithJoinThreadsTask.java:778); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.runSubQueries(NestedSubqueryWithJoinThreadsTask.java:710); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:522); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.apply(NestedSubqueryWithJoinThreadsTask.java:460); at com.bigdata.relation.rule.eval.NestedSubqueryWithJoinThreadsTask.call(NestedSubqueryWithJoinThreadsTask.java:301); ... 9 more; Caused by: java.util.concurrent.ExecutionException: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.rdf.spo.SPORelation.insert(SPORelation.java:1316); ... 26 more; Caused by: com.bigdata.service.ClientException: Execution failed: Index=kb.spo.SPO, Procedure com.bigdata.rdf.spo.SPOIndexWriteProc : Split{ ntuples=1, fromIndex=0, toIndex=1, pmd={ partitionId=0, dataServices=[281511d4-23e5-4ace-8b45-5a3f99ded8c4], leftSeparator=[], rightSeparator=null}}; at com.bigdata.service.ClientIndexView.runOne(ClientIndexView.java:1122); at com.bigdata.service.ClientIndexView.runTasks(ClientIndexView.java:1071); at com.bigdata.service.ClientIndexView.submit(ClientIndexView.java:1026); at com.bigdata.rdf.spo.SPOIndexWriter.call(SPOIndexWriter.java:269); at com.bigdata.rdf.spo.SPOIndexWriter.call(SPOIndexWriter.java:1); ... 5 more; Caused by: java.util.concurrent.ExecutionException: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:232); at java.util.concurrent.FutureTask.get(FutureTask.java:91); at com.bigdata.service.ClientIndexView.runOne(ClientIndexView.java:1115); ... 9 more; Caused by: java.util.concurrent.ExecutionException: java.lang.NullPointerException; at java.util.concurrent.FutureTask$Sync.innerGet(FutureTask.java:222); at java.util.concurrent.FutureTask.get(FutureTask.java:83); at com.bigdata.service.DataService.submit(DataService.java:991); at com.bigdata.service.ClientIndexView$AbstractDataServiceProcedureTask.submit(ClientIndexView.java:1538); at com.bigdata.service.ClientIndexView$AbstractDataServiceProcedureTask.submit(ClientIndexView.java:1485); at com.bigdata.service.ClientIndexView$AbstractDataServiceProcedureTask.call(ClientIndexView.java:1411); at com.bigdata.service.ClientIndexView$AbstractDataServiceProcedureTask.call(ClientIndexView.java:1); ... 5 more; Caused by: java.lang.NullPointerException; 	135535536	385679360	
Fri Nov 14 15:38:56 EST 2008	3	3		LTS	C:\DOCUME~1\BRYANT~1\LOCALS~1\Temp\LoadClosureAndQueryTest15605.test	false	While loading: d:\eossys\data\ranker.nt	java.lang.RuntimeException: While loading: d:\eossys\data\ranker.nt; at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:836); at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:782); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadSingleThreaded(LoadClosureAndQueryTest.java:1063); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.loadData(LoadClosureAndQueryTest.java:860); at com.bigdata.rdf.stress.LoadClosureAndQueryTest.doComparisonTest(LoadClosureAndQueryTest.java:735); at com.bigdata.test.ExperimentDriver$Experiment.run(ExperimentDriver.java:662); at com.bigdata.test.ExperimentDriver.main(ExperimentDriver.java:1278); Caused by: org.openrdf.rio.UnsupportedRDFormatException: No parser factory available for RDF format null; at org.openrdf.rio.Rio.createParser(Rio.java:173); at org.openrdf.rio.Rio.createParser(Rio.java:188); at com.bigdata.rdf.rio.BasicRioLoader.getParser(BasicRioLoader.java:131); at com.bigdata.rdf.rio.BasicRioLoader.loadRdf2(BasicRioLoader.java:177); at com.bigdata.rdf.rio.BasicRioLoader.loadRdf(BasicRioLoader.java:147); at com.bigdata.rdf.store.DataLoader.loadData3(DataLoader.java:910); at com.bigdata.rdf.store.DataLoader.loadFiles(DataLoader.java:832); ... 6 more; 	126205896	384827392	
